rank,smiles,ic50,qed,sa,logp,quality,fitness
1,COC(=O)OCC(=O)OCC(=O)Nc1ccccc1C(=O)O,-0.41357916593551636,0.7326711364848031,0.0,0.6494999999999995,0.7326711364848031,2.7457241909230974
2,O=C(COC(=O)COC(=O)OC1CC1)Nc1ccccc1C(=O)O,-0.5905201435089111,0.7098400376989807,0.0,1.1820999999999997,0.7098400376989807,2.7280996606259276
3,CN1CCCN(C2CC2)CC(c2ccccc2NCCO)C1,-0.45935457944869995,0.8722592168202006,0.0,1.9742999999999997,0.8722592168202006,2.4676541434029744
4,CCCCN1CCCN(C)CC(c2ccccc2CO)C1NC(C)=O,-0.15725353360176086,0.8279904723182717,0.0,2.1623,0.8036454723182717,2.2908044071800306
5,CC(=O)Nc1ccccc1-c1ccccc1COC=O,-0.6820966005325317,0.8488694048267797,0.0,2.985000000000001,0.7011194048267796,2.2581328387940314
6,COC(=O)OCC(=O)OCC(=O)Nc1ccccc1N(C)C,-0.22617150843143463,0.7837335114938669,0.0,1.0172999999999994,0.7837335114938669,2.233779121490847
7,CC(C)CN1CCCN(C)CC(c2ccccc2CO)C1C,-0.25491809844970703,0.9262887151942419,0.0,2.9445000000000014,0.7846137151942417,2.233412417933497
8,CC(=O)Nc1ccccc1C1CCCN1CC1CC1CO,0.008560867048799992,0.8745899476530402,0.0,2.4103000000000008,0.8130449476530401,2.224383318958729
9,CC1C(c2ccccc2CO)CN(C)CCCN1CC1CC1CO,0.3766307830810547,0.8647514375338933,0.0,1.9169000000000005,0.8647514375338933,2.1879088167925635
10,CCCCN1CCCN(C)CC(c2ccccc2CO)CCCN1C,0.7052804231643677,0.8848283003213517,0.0,3.3271000000000024,0.6857633003213514,2.1611194627719144
11,COC(=O)OCC(=O)OCC(=O)Nc1ccccc1,-0.6534207463264465,0.798588628831789,0.0,0.9512999999999994,0.798588628831789,2.1440359259909094
12,CC(=O)COc1ccccc1COC(=O)O,-0.3569883406162262,0.7724232811637649,0.0,1.849,0.7724232811637649,2.1418883480445405
13,CCNCN1CCCN(C)CC2c3ccccc3C1CC(O)C2C,0.5312149524688721,0.8921421414825804,0.0,2.4165,0.8296671414825804,2.1175411749787107
14,CC(=O)Nc1ccccc1-c1ccccc1CO,-0.5691428780555725,0.8677006353439353,0.0,2.804300000000001,0.7470556353439352,2.0899868915298505
15,CC(=O)NCC1C(c2ccccc2CO)CN(C)CCCCCN1CCO,0.07652182877063751,0.6940424786224872,0.0,1.1771999999999998,0.6940424786224872,2.072750160339457
16,CC1C(c2ccccc2CO)CN(C)CCC[N+]1=[N-],-0.7712340354919434,0.8280153992132914,0.0,2.0206,0.8249253992132913,2.070238692341759
17,CC(=O)NC1C(c2ccccc2CO)CN(C)CCCN1C,-0.488100528717041,0.8743940646194832,0.0,0.9920000000000002,0.8743940646194832,2.013174723534468
18,CNc1ccccc1C1CCCN(C)N(C)CCCN(C2CC2)C1,-0.29897621273994446,0.918218523764391,0.0,3.238800000000002,0.7323985237643906,2.012228635701694
19,CCNCN1CCCN(C)CC(c2ccccc2CO)C1C,-0.44149595499038696,0.8707922980830817,0.0,1.8555,0.8707922980830817,2.0105164320559794
20,CCNCN1CCCN(C)CC2CC1CC(O)C2C,0.6087132096290588,0.8005898657540159,0.0,0.966500000000001,0.8005898657540159,1.9776947325666103
